,,,,,,,,,,,,,,,,,,,
,,"911 Warehouse Location (Lane 1 ~20, J, K, L)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 6,6-LA1,6-LB1,6-LC1,6-LD1,6-LE1,6-LF1,6-LG1,6-LH1,6-LJ1,,6-LL1,6-LM1,6-LN1,6-LP1,,,,
,,6-LA2,6-LB2,6-LC2,6-LD2,6-LE2,6-LF2,6-LG2,6-LH2,6-LJ2,,6-LL2,6-LM2,6-LN2,6-LP2,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 7,7-LA1,7-LB1,7-LC1,7-LD1,7-LE1,7-LF1,7-LG1,7-LH1,7-LJ1,,7-LL1,7-LM1,7-LN1,7-LP1,,,,
,,7-LA2,7-LB2,7-LC2,7-LD2,7-LE2,7-LF2,7-LG2,7-LH2,7-LJ2,,7-LL2,7-LM2,7-LN2,7-LP2,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 8,8-LA1,,8-LC1,8-LD1,8-LE1,8-LF1,8-LG1,8-LH1,8-LJ1,8-LK1,8-LL1,,8-LN1,8-LP1,8-LQ1,8-LR1,,
,,8-LA2,,8-LC2,8-LD2,8-LE2,8-LF2,8-LG2,8-LH2,8-LJ2,8-LK2,8-LL2,,8-LN2,8-LP2,8-LQ2,8-LR2,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 9,9-LA1,,9-LC1,9-LD1,9-LE1,9-LF1,9-LG1,9-LH1,9-LJ1,9-LK1,9-LL1,,9-LN1,9-LP1,9-LQ1,9-LR1,,
,,9-LA2,,9-LC2,9-LD2,9-LE2,9-LF2,9-LG2,9-LH2,9-LJ2,9-LK2,9-LL2,,9-LN2,9-LP2,9-LQ2,9-LR2,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 10,10-LA1,,10-LC1,10-LD1,10-LE1,10-LF1,10-LG1,10-LH1,10-LJ1,10-LK1,10-LL1,,10-LN1,10-LP1,10-LQ1,,,
,,10-LA2,,10-LC2,10-LD2,10-LE2,10-LF2,10-LG2,10-LH2,10-LJ2,10-LK2,10-LL2,,10-LN2,10-LP2,10-LQ2,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 11,11-LA1,,11-LC1,11-LD1,11-LE1,11-LF1,11-LG1,11-LH1,11-LJ1,11-LK1,11-LL1,,11-LN1,11-LP1,11-LQ1,,,
,,11-LA2,,11-LC2,11-LD2,11-LE2,11-LF2,11-LG2,11-LH2,11-LJ2,11-LK2,11-LL2,,11-LN2,11-LP2,11-LQ2,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 12,12-LA1,,12-LC1,12-LD1,12-LE1,12-LF1,12-LG1,12-LH1,,12-LK1,12-LL1,12-LM1,12-LN1,12-LP1,12-LQ1,12-LR1,,
,,12-LA2,,12-LC2,12-LD2,12-LE2,12-LF2,12-LG2,12-LH2,,12-LK2,12-LL2,12-LM2,12-LN2,12-LP2,12-LQ2,12-LR2,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 13,13-LA1,,13-LC1,13-LD1,13-LE1,13-LF1,13-LG1,13-LH1,,13-LK1,13-LL1,13-LM1,13-LN1,13-LP1,13-LQ1,13-LR1,,
,,13-LA2,,13-LC2,13-LD2,13-LE2,13-LF2,13-LG2,13-LH2,,13-LK2,13-LL2,13-LM2,13-LN2,13-LP2,13-LQ2,13-LR2,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 14,14-LA1,14-LB1,14-LC1,14-LD1,14-LE1,14-LF1,14LG1,14-LH1,,14-LJ1,14-LK1,14-LL1,14-LM1,14-LN1,,,,
,,14-LA2,14-LB2,14-LC2,14-LD2,14-LE2,14-LF2,14-LG2,14-LH2,,14-LJ2,14-LK2,14-LL2,14-LM2,14-LN2,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 15,15-LA1,15-L1,15-LC1,15-LD1,15-LE1,15-LF1,15-LG1,15-LH1,15-LJ1,,,,,,,,,
,,15-LA2,15-LB2,15-LC2,15-LD2,15-LE2,15-LF2,15-LG2,15-LH2,15-LJ2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 16,16-LA1,16-LB1,16-LC1,16-LD1,16-LE1,16-LF1,16-LG1,16-LH1,16-LJ1,16-LK1,16-LL1,16-LM1,,,,,,
,,16-LA2,16-LB2,16-LC2,16-LD2,16-LE2,16-LF2,16-LG2,16-LH2,16-LJ2,16-LK2,16-LL2,16-LM2,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 17,17-LA1,17-LB1,17-LC1,17-LD1,17-LE1,17-LF1,17-LG1,17-LH1,17-LJ1,17-LK1,17-LL1,17-LM1,,,,,,
,,17-LA2,17-LB2,17-LC2,17-LD2,17-LE2,17-LF2,17-LG2,17-LH2,17-LJ2,17-LK2,17-LL2,17-LM2,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 18,18-LA1,18-LB1,18-LC1,18-LD1,18-LE1,18-LF1,18-LG1,18-LH1,,18-LK1,18-LL1,18-LM1,,,,,,
,,18-LA2,18-LB2,18-LC2,18-LD2,18-LE2,18-LF2,18-LG2,18-LH2,,18-LK2,18-LL2,18-LM2,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 19,19-LA1,19-LB1,19-LC1,19-LD1,19-LE1,19-LF1,19-LG1,19-LH1,,19-LK1,19-LL1,19-LM1,,,,,,
,,19-LA2,19-LB2,19-LC2,19-LD2,19-LE2,19-LF2,19-LG2,19-LH2,,19-LK2,19-LL2,19-LM2,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE 20,,20-LB1,20-LC1,20-LD1,,20-LF1,20-LG1,20-LH1,20-LJ1,20-LK1,,,,,,,,
,,,20-LB2,20-LC2,20-LD2,,20-LF2,20-LG2,20-LH2,20-LJ2,20-LK2,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE AA,AA-LA1,AA-LB1,AA-LC1,AA-LD1,AA-LE1,AA-LF1,AA-LG1,AA-LH1,AA-LJ1,AA-LK1,AA-LL1,AA-LM1,AA-LN1,AA-LO1,AA-LP1,AA-LQ1,AA-LR1,AA-LS1
,,AA-LA2,AA-LB2,AA-LC2,AA-LD2,AA-LE2,AA-LF2,AA-LG2,AA-LH2,AA-LJ2,AA-LK2,AA-LL2,AA-LM2,AA-LN2,AA-LO2,AA-LP2,AA-LQ2,AA-LR2,AA-LS2
,,AA-LA3,AA-LB3,AA-LC3,AA-LD3,AA-LE3,AA-LF3,AA-LG3,AA-LH3,AA-LJ3,AA-LK3,AA-LL3,AA-LM3,AA-LN3,AA-LO3,AA-LP3,AA-LQ3,AA-LR3,AA-LS3
,,AA-LA4,AA-LB4,AA-LC4,AA-LD4,AA-LE4,AA-LF4,AA-LG4,AA-LH4,AA-LJ4,AA-LK4,AA-LL4,AA-LM4,AA-LN4,AA-LO4,AA-LP4,AA-LQ4,AA-LR4,AA-LS4
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE BB,BB-LA1,BB-LB1,BB-LC1,BB-LD1,BB-LE1,BB-LF1,BB-LG1,,,,,,,,,,,
,,BB-LA2,BB-LB2,BB-LC2,BB-LD2,BB-LE2,BB-LF2,BB-LG2,,,,,,,,,,,
,,BB-LA3,BB-LB3,BB-LC3,BB-LD3,BB-LE3,BB-LF3,BB-LG3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE CC,CC-LA1,CC-LB1,CC-LC1,CC-LD1,CC-LE1,CC-LF1,CC-LG1,,,,,,,,,,,
,,CC-LA2,CC-LB2,CC-LC2,CC-LD2,CC-LE2,CC-LF2,CC-LG2,,,,,,,,,,,
,,,CC-LB3,,CC-LD3,CC-LE3,CC-LF3,CC-LG3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE DD,DD-LA1,DD-LB1,DD-LC1,DD-LD1,DD-LE1,DD-LF1,DD-LG1,DD-LH1,,,,,,,,,,
,,DD-LA2,DD-LB2,DD-LC2,DD-LD2,DD-LE2,DD-LF2,DD-LG2,DD-LH2,,,,,,,,,,
,,DD-LA3,DD-LB3,DD-LC3,DD-LD3,DD-LE3,DD-LF3,DD-LG3,DD-LH3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE EE,EE-LA1,EE-LB1,EE-LC1,EE-LD1,EE-LE1,,,,,,,,,,,,,
,,EE-LA2,EE-LB2,EE-LC2,EE-LD2,EE-LE2,,,,,,,,,,,,,
,,EE-LA3,EE-LB3,EE-LC3,EE-LD3,EE-LE3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE FF,FF-LA1,FF-LB1,FF-LC1,FF-LD1,,,,,,,,,,,,,,
,,FF-LA2,FF-LB2,FF-LC2,FF-LD2,,,,,,,,,,,,,,
,,FF-LA3,FF-LB3,FF-LC3,FF-LD3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE GG,GG-LA1,GG-LB1,GG-LC1,GG-LD1,GG-LE1,GG-LF1,,,,,,,,,,,,
,,GG-LA2,GG-LB2,GG-LC2,GG-LD2,GG-LE2,GG-LF2,,,,,,,,,,,,
,,GG-LA3,GG-LB3,GG-LC3,GG-LD3,GG-LE3,GG-LF3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,LANE HH,HH-LA1,HH-LB1,HH-LC1,HH-LD1,,,,,,,,,,,,,,
,,HH-LA2,HH-LB2,HH-LC2,HH-LD2,,,,,,,,,,,,,,
,,HH-LA3,HH-LB3,HH-LC3,HH-LD3,,,,,,,,,,,,,,
